Papua New Guinea,PNG,"Population, total",8776109
Poland,POL,"Population, total",37970874
Pre-demographic dividend,PRE,"Population, total",944902749
Puerto Rico,PRI,"Population, total",3193694
"Korea, Dem. People’s Rep.",PRK,"Population, total",25666161
Portugal,PRT,"Population, total",10269417
Paraguay,PRY,"Population, total",7044636
West Bank and Gaza,PSE,"Population, total",4685306
Pacific island small states,PSS,"Population, total",2493696
Post-demographic dividend,PST,"Population, total",1112914457
French Polynesia,PYF,"Population, total",279287
Qatar,QAT,"Population, total",2832067
Romania,ROU,"Population, total",19356544
Russian Federation,RUS,"Population, total",144373535
Rwanda,RWA,"Population, total",12626950
South Asia,SAS,"Population, total",1835776742
Saudi Arabia,SAU,"Population, total",34268528
Sudan,SDN,"Population, total",42813238
Senegal,SEN,"Population, total",16296364
Singapore,SGP,"Population, total",5703569
Solomon Islands,SLB,"Population, total",669823
Sierra Leone,SLE,"Population, total",7813215
El Salvador,SLV,"Population, total",6453553
San Marino,SMR,"Population, total",33860
Somalia,SOM,"Population, total",15442905
Serbia,SRB,"Population, total",6944975
Sub-Saharan Africa (excluding high income),SSA,"Population, total",1105594562
South Sudan,SSD,"Population, total",11062113
Sub-Saharan Africa,SSF,"Population, total",1106957898
Small states,SST,"Population, total",41255484
Sao Tome and Principe,STP,"Population, total",215056
Suriname,SUR,"Population, total",581372
Slovak Republic,SVK,"Population, total",5454073
Slovenia,SVN,"Population, total",2087946
Sweden,SWE,"Population, total",10285453
Eswatini,SWZ,"Population, total",1148130
Sint Maarten (Dutch part),SXM,"Population, total",40733
Seychelles,SYC,"Population, total",97625
Syrian Arab Republic,SYR,"Population, total",17070135
Turks and Caicos Islands,TCA,"Population, total",38191
Chad,TCD,"Population, total",15946876
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",2067984156
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",460799505
Togo,TGO,"Population, total",8082366
Thailand,THA,"Population, total",69625582
Tajikistan,TJK,"Population, total",9321018
Turkmenistan,TKM,"Population, total",5942089
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",630644770
Timor-Leste,TLS,"Population, total",1293119
